Name,Rating,Category1,Category2,Place,City
haldrin,4.7,Culture,Not Recommended,GPIB Immanuel Semarang (Gereja Blenduk),Semarang
kelleher,3.5,Culinary,Respectable,Desa Wisata Lembah Kalipancur,Semarang
anmay,3.8,Culture,Noisy,Pantai Parangtritis,Jogja
sundra,5.0,Culinary,Tasty Food,Monumen Palagan Ambarawa,Semarang
malikka,3.6,Culture,Mindful,Semarang Contemporary Art Gallery,Semarang
forester,3.5,History,Isolated,Wisata Kalibiru,Jogja
basilisa,4.8,Culture,Bad Food,Kota Lama Semarang,Semarang
saphyre,3.6,History,Not Recommended,Pantai Depok Jogja,Jogja
lara,5.0,History,Cheap Price,Selected Places,Jogja
calirose,4.9,Culinary,Hated,Water Blaster Bukit Candi Golf,Semarang
tammylynn,4.7,History,Boring,Pantai Baruna,Semarang
lindsae,3.8,Nature,Cheap Price,Kampung Batik Gedong Semarang,Semarang
amarianna,4.9,History,Kind Person,Indonesia Kaya Park,Semarang
mohima,3.0,Culture,Isolated,Pantai Baruna,Semarang
myhia,3.4,Tourist Attraction,Kind,Waduk Jatibarang,Semarang
merrian,5.0,Culinary,Boring,Candi Gedong Songo,Semarang
liponis,4.1,Culture,Respectable,Kota Lama Semarang,Semarang
kerwinn,4.1,Culture,Expensive,Kampung Wisata Taman Sari,Jogja
joree,4.4,Culture,Recommended,Pantai Jogan,Jogja
mandache,4.2,History,Bad Food,Wisata Mangrove Tapak,Semarang
tranyah,4.1,Culinary,Kind Person,Desa Wisata Pulesari,Jogja
bausch,4.5,History,Fun,Museum Kereta Ambarawa,Semarang
coulter,3.3,Tourist Attraction,Mindful,Old City 3D Trick Art Museum,Semarang
kachan,3.9,Tourist Attraction,Isolated,Candi Gedong Songo,Semarang
sayma,3.6,History,Noisy,Waduk Jatibarang,Semarang
yoel,4.8,Culture,Great View,Pura Giri Natha,Semarang
sumler,3.1,History,Peaceful,Watu Lumbung,Jogja
kimberlyy,3.5,Culture,Expensive,Gua Maria Kerep Ambarawa,Semarang
ertis,3.9,History,Beautiful,Kampung Tematik Jawi,Semarang
priseis,3.3,Tourist Attraction,Bad Food,Pantai Patihan,Jogja
yavanna,4.6,History,Cheap Price,Pantai Parangtritis,Jogja
aranka,3.6,Culinary,Peaceful,Watu Mabur Mangunan,Jogja
chenin,3.3,Culinary,Great View,Pantai Glagah,Jogja
claudie,3.6,Nature,Peaceful,Brown Canyon,Semarang
jahmia,4.0,History,Tasty Food,Kampoeng Kopi Banaran,Semarang
antipus,4.4,Tourist Attraction,Respectable,Hutan Pinus Kayon,Semarang
arbon,3.8,Culinary,Great View,Goa Rancang Kencono,Jogja
umayyah,3.8,Culinary,Mindful,Wisata Mangrove Tapak,Semarang
koreen,3.7,Culture,Tasty Food,Pantai Nguluran,Jogja
lynia,3.8,History,Peaceful,Kampung Wisata Kadipaten,Jogja
ellsierose,3.2,Tourist Attraction,Kind,Lawang Sewu,Semarang
jacarey,4.4,Culinary,Kind,Benteng Pendem,Semarang
howze,4.9,Culinary,Isolated,Monumen Palagan Ambarawa,Semarang
tague,3.9,History,Kind,Pasar Kebon Empring Bintaran,Jogja
ceyara,3.9,Culture,Expensive,Pasar Beringharjo,Jogja
franklynn,4.9,Culinary,Great View,Masjid Agung Ungaran,Semarang
liudmila,4.4,Tourist Attraction,Recommended,Wisata Lereng Kelir,Semarang
jamson,3.2,Tourist Attraction,Noisy,Hutan Pinus Kayon,Semarang
nayah,4.9,Culinary,Recommended,Semarang Chinatown,Semarang
ameena,4.2,History,Beautiful,Taman Pelangi Yogyakarta,Jogja
frayia,3.1,Tourist Attraction,Peaceful,Nol Kilometer Jl.Malioboro,Jogja
hachmann,4.0,Nature,Beautiful,Taman Pandanaran,Semarang
decato,3.9,Nature,Expensive,Bukit Lintang Sewu,Jogja
barira,4.8,Nature,Fun, Pantai Cipta,Semarang
ehlijah,4.1,Nature,Cheap Price,Watu Lumbung,Jogja
aneth,3.7,Tourist Attraction,Recommended,The World Landmarks - Merapi Park Yogyakarta,Jogja
selcuk,4.9,Nature,Expensive,Wisata Alam Wana Wisata Penggaron,Semarang
kinnie,4.5,History,Recommended,Galaxy Waterpark Jogja,Jogja
aniecia,3.9,Tourist Attraction,Not Recommended,Waduk Jatibarang,Semarang
jawanda,4.8,History,Cheap Price,Sindu Kusuma Edupark (SKE),Jogja
dilkhush,5.0,Culinary,Respectable,Brown Canyon,Semarang
luccia,4.7,Nature,Peaceful,Benteng Pendem,Semarang
deede,4.5,Tourist Attraction,Mindful,Pintoe Langit Dahromo,Jogja
murland,4.7,History,Hated,Pantai Jogan,Jogja
mckenney,3.7,Culture,Recommended,Jembatan Biru Ambarawa,Semarang
fredella,4.2,Nature,Recommended,Candi Ijo,Jogja
bunting,4.8,Culture,Mindful,Kota Lama Semarang,Semarang
gemikle,4.9,History,Respectable,Tugu Muda Semarang,Semarang
fatlina,4.6,Nature,Tasty Food,Pasar Kebon Empring Bintaran,Jogja
eddy,4.6,Tourist Attraction,Kind Person,Wisata Eling Bening,Semarang
kofi,4.6,Culinary,Beautiful,Kampung Wisata Kadipaten,Jogja
pryderi,3.1,History,Tasty Food,Pantai Wediombo,Jogja
alarni,3.4,Nature,Tasty Food,Wisata Kaliurang,Jogja
kiele,3.3,Tourist Attraction,Noisy,Kampung Tematik Jawi,Semarang
lederrick,4.4,Nature,Expensive,Embung Tambakboyo,Jogja
donaleen,3.8,Tourist Attraction,Great View,Watu Lumbung,Jogja
anashia,3.0,Tourist Attraction,Beautiful,Desa Wisata Lembah Kalipancur,Semarang
vassilios,3.5,Culinary,Mindful,Kawasan Wisata Sosrowijayan,Jogja
purifory,4.0,Nature,Mindful,Wisata Lereng Kelir,Semarang
danka,4.3,Culinary,Peaceful,Sindu Kusuma Edupark (SKE),Jogja
fruzsina,4.6,Tourist Attraction,Boring,Taman Pelangi Yogyakarta,Jogja
prentiss,4.8,Tourist Attraction,Recommended,Pantai Ngrenehan,Jogja
geocomo,4.3,Culture,Noisy,Pantai Marina,Semarang
hickson,3.6,Nature,Kind,Masjid Agung Ungaran,Semarang
shanina,3.7,Tourist Attraction,Peaceful,Waduk Jatibarang,Semarang
shandria,3.2,Culinary,Expensive,Water Blaster Bukit Candi Golf,Semarang
inger,4.7,Culture,Not Recommended,Wisata Lereng Kelir,Semarang
athelstan,4.9,Culture,Great View,Watu Goyang,Jogja
julien,3.5,Culture,Not Recommended,Wisata Mangrove Tapak,Semarang
ronnika,3.4,Nature,Recommended,Pantai Drini,Jogja
neve,4.3,Tourist Attraction,Mindful,Monumen Sanapati,Jogja
domicella,4.1,Culinary,Respectable,Taman Srigunting,Semarang
lemos,4.7,History,Kind,Semarang Chinatown,Semarang
kinverlin,4.3,Nature,Expensive,Brown Canyon,Semarang
arquimedes,4.5,Nature,Great View,Taman Pelangi Yogyakarta,Jogja
anaisabella,3.8,Nature,Beautiful,Obyek Wisata Goa Kreo,Semarang
fedorko,3.2,Nature,Kind Person,Kampoeng Djadhoel Semarang,Semarang
baelor,3.5,Culture,Noisy,Flower Farm Setiya Aji,Semarang
sampaio,4.6,Culinary,Fun,Desa Wisata Sungai Code Jogja Kota,Jogja
haiko,3.1,Culture,Kind Person,Pantai Jogan,Jogja
nasreen,3.1,Culinary,Kind Person,Pantai Jogan,Jogja
varshika,5.0,Culinary,Isolated,Kampung Pelangi,Semarang
etsel,4.5,Nature,Expensive,Lawang Sewu,Semarang
vanaja,4.8,Culinary,Kind Person,Monumen Sanapati,Jogja
everest,3.2,Culinary,Not Recommended,Kampung Tematik Jawi,Semarang
albinca,4.8,Culture,Cheap Price,Candi Ijo,Jogja
senters,3.4,Culinary,Cheap Price,Taman Srigunting,Semarang
sabana,3.8,History,Noisy,Desa Wisata Sungai Code Jogja Kota,Jogja
hombre,3.1,Culinary,Boring,Monumen Sanapati,Jogja
ortega,3.5,Tourist Attraction,Noisy,Geoforest Watu Payung Turunan,Jogja
pliner,4.3,Culture,Not Recommended,Pantai Parangtritis,Jogja
ketil,3.1,Culture,Mindful,Alun-alun Utara Keraton Yogyakarta,Jogja
deadrian,3.3,Nature,Cheap Price,Pantai Sundak,Jogja
nyria,3.6,Tourist Attraction,Kind,Benteng Pendem,Semarang
lilli,4.8,Nature,Isolated,Waduk Jatibarang,Semarang
antonius,4.0,Culture,Boring,Durian Gardens and Tourism Education Watu Simbar,Semarang
rimola,4.9,History,Beautiful,Taman Kasmaran,Semarang
eliesel,3.6,Culinary,Mindful,Selected Places,Semarang
erdell,3.3,Tourist Attraction,Hated,Desa Wisata Lembah Kalipancur,Semarang
evald,4.9,Culture,Bad Food,Pantai Nglambor,Jogja
andretti,4.5,Nature,Not Recommended,Monumen Sanapati,Jogja
oshun,3.2,Culinary,Bad Food,Selected Places,Jogja
jelliff,3.9,Tourist Attraction,Isolated,Puncak Gunung Api Purba - Nglanggeran,Jogja
seosamh,3.9,Culinary,Boring,Pantai Depok Jogja,Jogja
vitauts,3.4,History,Peaceful,Tebing Breksi,Jogja
godinez,3.7,Nature,Not Recommended,Kota Lama Semarang,Semarang
tehmoor,4.6,History,Fun,Galaxy Waterpark Jogja,Jogja
rashab,4.3,Nature,Boring,Kampoeng Djadhoel Semarang,Semarang
nijha,4.2,History,Recommended,Wisata Lereng Kelir,Semarang
petscher,5.0,Culinary,Beautiful,Grand Maerakaca,Semarang
inmar,4.7,History,Kind,Selected Places,Semarang
kaidance,5.0,Culinary,Recommended,Hutan Pinus Kayon,Semarang
caite,4.3,Culinary,Peaceful,Wisata Eling Bening,Semarang
maycee,3.7,Culinary,Kind,Waduk Jatibarang,Semarang
burrough,3.1,History,Respectable,Masjid Agung Ungaran,Semarang
swink,4.6,Culture,Kind,Water Blaster Bukit Candi Golf,Semarang
damarious,3.4,Nature,Cheap Price,Masjid Agung Ungaran,Semarang
myesia,5.0,Nature,Cheap Price,Kampoeng Kopi Banaran,Semarang
jaelys,3.8,Culinary,Mindful,Monumen Palagan Ambarawa,Semarang
henritta,3.1,Culinary,Tasty Food,Pantai Patihan,Jogja
korkut,3.6,Nature,Fun,Grand Maerakaca,Semarang
merin,4.5,Tourist Attraction,Hated,Pantai Nguluran,Jogja
jerquan,3.4,Culture,Expensive,Watu Mabur Mangunan,Jogja
felty,4.5,Culture,Boring,Pantai Glagah,Jogja
ellett,3.3,Nature,Peaceful,Museum Kereta Ambarawa,Semarang
migna,4.5,Nature,Boring,Water Blaster Bukit Candi Golf,Semarang
garison,3.9,Nature,Respectable,Candi Borobudur,Jogja
leisy,3.7,Culinary,Expensive,Candi Prambanan,Jogja
malayah,4.0,Tourist Attraction,Peaceful,Goa Rancang Kencono,Jogja
meriwether,3.4,History,Recommended,Lawang Sewu,Semarang
maclean,4.6,Culture,Boring,Desa Wisata Sungai Code Jogja Kota,Jogja
saphronia,3.3,History,Isolated,Wisata Eling Bening,Semarang
corintha,4.0,Culinary,Expensive,Wisata Eling Bening,Semarang
divesh,4.9,History,Cheap Price,Wisata Kaliurang,Jogja
shaqir,3.7,Culture,Mindful,Taman Pelangi Yogyakarta,Jogja
hasya,4.3,Tourist Attraction,Mindful,Museum Kereta Ambarawa,Semarang
tillee,3.6,Culture,Great View,Brown Canyon,Semarang
umpierrez,4.8,Culinary,Boring,Goa Pindul,Jogja
asmat,4.5,Culture,Isolated,Benteng Pendem,Semarang
philippe,3.4,History,Peaceful,Masjid Agung Ungaran,Semarang
vialli,3.2,Tourist Attraction,Cheap Price,Masjid Agung Ungaran,Semarang
cacia,4.1,History,Tasty Food,Taman Tabanas,Semarang
yasmeenah,3.6,Tourist Attraction,Hated,Nol Kilometer Jl.Malioboro,Jogja
lynwood,3.5,Nature,Tasty Food,Kampoeng Rawa,Semarang
trenaris,3.1,Culinary,Fun,Gua Maria Kerep Ambarawa,Semarang
murrough,4.3,Nature,Cheap Price,Pantai Patihan,Jogja
nonya,3.2,History,Hated,Bendung Lepen,Jogja
jessenia,3.8,History,Mindful,Wisata Alam Wana Wisata Penggaron,Semarang
avanti,4.5,Nature,Hated,Wisata Lereng Kelir,Semarang
archille,4.3,Tourist Attraction,Peaceful,Pantai Depok Jogja,Jogja
vern,4.9,Culinary,Great View,Bentara Budaya Yogyakarta (BBY),Jogja
diamante,3.2,Culinary,Kind,Masjid Agung Ungaran,Semarang
bohun,4.0,Tourist Attraction,Not Recommended,GPIB Immanuel Semarang (Gereja Blenduk),Semarang
bum,4.4,Tourist Attraction,Boring,Wisata Kalibiru,Jogja
kieren,4.2,Tourist Attraction,Isolated,Tebing Breksi,Jogja
yesen,5.0,Nature,Recommended,Masjid Agung Ungaran,Semarang
montse,3.5,Tourist Attraction,Isolated,Air Terjun Kedung Pedut,Jogja
gael,4.7,Culinary,Noisy,Water Blaster Bukit Candi Golf,Semarang
majour,4.4,Culture,Bad Food,Gua Maria Kerep Ambarawa,Semarang
rosene,4.7,Culture,Tasty Food,Pantai Indrayanti,Jogja
alanas,3.4,Culinary,Fun,Pasar Beringharjo,Jogja
lachone,4.8,History,Peaceful,Semarang Chinatown,Semarang
kabria,4.1,Tourist Attraction,Recommended,GPIB Immanuel Semarang (Gereja Blenduk),Semarang
naavah,5.0,Culinary,Recommended,Taman Kasmaran,Semarang
jaqai,4.1,Culinary,Noisy,Pantai Ngrenehan,Jogja
letwinski,4.3,Culinary,Bad Food,Lava Bantal,Jogja
louvine,4.7,History,Not Recommended,Candi Ijo,Jogja
keyosha,4.3,Nature,Bad Food,Watu Lumbung,Jogja
ayriana,4.1,Nature,Mindful,Benteng Pendem,Semarang
julessa,4.6,Culinary,Isolated,Kawasan Malioboro,Jogja
yanisse,4.0,History,Peaceful,Goa Rancang Kencono,Jogja
sesalie,4.9,History,Kind,Taman Srigunting,Semarang
daebreon,4.4,Tourist Attraction,Beautiful,Wisata Eling Bening,Semarang
mcgarrah,4.6,Culture,Bad Food,Pantai Parangtritis,Jogja
iota,4.3,Culture,Mindful,Pantai Nglambor,Jogja
edlira,4.7,Nature,Recommended,Gua Maria Kerep Ambarawa,Semarang
lorre,3.1,Culture,Kind,Green Village Gedangsari,Jogja
chidumaga,3.6,Culinary,Kind,Wisata Eling Bening,Semarang
brod,3.0,History,Noisy,Candi Prambanan,Jogja
tenajah,4.6,Culture,Beautiful,Brown Canyon,Semarang
skyanne,3.7,History,Hated,Kawasan Wisata Sosrowijayan,Jogja
arguello,4.1,Culinary,Tasty Food,Taman Pelangi Yogyakarta,Jogja
tanjum,4.2,History,Peaceful,Bukit Wisata Pulepayung,Jogja
cogen,4.7,Culture,Boring,Old City 3D Trick Art Museum,Semarang
melendy,4.4,Culture,Recommended,Monumen Serangan Umum 1 Maret,Jogja
amedee,4.1,Nature,Beautiful,Sindu Kusuma Edupark (SKE),Jogja
shatondra,4.3,History,Mindful,Masjid Agung Ungaran,Semarang
rekisha,4.6,Tourist Attraction,Mindful,Gua Maria Kerep Ambarawa,Semarang
chizue,3.7,Culture,Mindful,Semarang Chinatown,Semarang
thebault,5.0,Nature,Cheap Price,Pasar Kebon Empring Bintaran,Jogja
toshiaki,3.1,History,Noisy,Monumen Palagan Ambarawa,Semarang
navarrie,3.3,Culture,Boring,Pasar Beringharjo,Jogja
lett,3.1,Nature,Expensive,Masjid Kapal Semarang,Semarang
emmo,4.6,Culinary,Beautiful,Pantai Samas,Jogja
goodier,4.4,History,Peaceful,La Kana Chapel,Semarang
talyssa,4.2,Culinary,Recommended,Taman Srigunting,Semarang
cambelle,3.7,Culture,Recommended,Kampoeng Rawa,Semarang
kyran,3.2,Nature,Great View,Wisata Mangrove Tapak,Semarang
mcavoy,5.0,Culture,Kind,Seribu Batu Songgo Langit,Jogja
cardoza,3.2,Culinary,Bad Food,Kampung Tematik Jawi,Semarang
covan,3.5,Culinary,Kind,Masjid Kapal Semarang,Semarang
lyubka,4.0,Culture,Kind,Sindu Kusuma Edupark (SKE),Jogja
lavasia,4.8,Culinary,Mindful,The Lost World Castle,Jogja
edrianna,3.7,Nature,Isolated,Embung Tambakboyo,Jogja
lanna,3.3,Culture,Bad Food,Pantai Baruna,Semarang
danarius,3.9,Tourist Attraction,Not Recommended, Pantai Cipta,Semarang
kaiah,4.3,Culinary,Respectable,Alun-alun Utara Keraton Yogyakarta,Jogja
emanoil,3.9,Nature,Expensive,Goa Rancang Kencono,Jogja
velerie,4.1,Culinary,Hated,Masjid Kapal Semarang,Semarang
shaniqa,3.5,Tourist Attraction,Hated,Tirto Argo Siwarak,Semarang
vetuta,4.3,Culinary,Fun,Kampoeng Rawa,Semarang
elverta,4.0,History,Mindful,Galaxy Waterpark Jogja,Jogja
vernise,4.8,History,Isolated,Wisata Mangrove Tapak,Semarang
orjola,3.3,Tourist Attraction,Not Recommended,Lava Bantal,Jogja
eziquiel,3.1,Nature,Not Recommended,Grand Maerakaca,Semarang
kupres,3.3,Tourist Attraction,Boring,Kota Lama Semarang,Semarang
prestero,4.4,History,Peaceful,Gua Maria Kerep Ambarawa,Semarang
dipesh,3.9,Culture,Recommended,Gua Maria Kerep Ambarawa,Semarang
aage,4.9,Culture,Peaceful,Taman Pandanaran,Semarang
karmello,4.5,Culture,Recommended,Jembatan Biru Ambarawa,Semarang
dewy,4.7,Nature,Kind,Masjid Kapal Semarang,Semarang
suzonne,3.0,Tourist Attraction,Peaceful,Monumen Palagan Ambarawa,Semarang
pancrazia,3.1,Tourist Attraction,Mindful,Wisata Eling Bening,Semarang
ardi,3.1,History,Not Recommended,Pantai Marina,Semarang
prerna,4.1,Culinary,Peaceful,Bukit Wisata Pulepayung,Jogja
declue,4.1,Culture,Mindful,Pantai Parangtritis,Jogja
dustn,3.8,Nature,Kind Person,Selected Places,Jogja
sumukh,4.3,Culinary,Not Recommended,Desa Wisata Pulesari,Jogja
hiler,3.2,Nature,Tasty Food,Hutan Wisata Tinjomoyo Semarang,Semarang
sholto,4.5,History,Kind Person,Taman Pandanaran,Semarang
obsidian,4.2,Nature,Recommended,Kota Lama Semarang,Semarang
brendis,3.7,History,Mindful,Kampoeng Kopi Banaran,Semarang
jakelyn,4.0,Culture,Kind Person,Taman Srigunting,Semarang
jimmia,4.9,Nature,Fun,Geoforest Watu Payung Turunan,Jogja
selmin,4.7,Tourist Attraction,Noisy,Obyek Wisata Goa Kreo,Semarang
iyanni,3.9,History,Recommended,Kampoeng Kopi Banaran,Semarang
pratyusha,4.1,Culinary,Fun,Bunker Kaliadem Merapi,Jogja
giggetts,3.6,Tourist Attraction,Noisy,Goa Rancang Kencono,Jogja
pelaghiea,3.5,Culture,Mindful,The World Landmarks - Merapi Park Yogyakarta,Jogja
auden,4.0,Culinary,Isolated,Desa Wisata Pulesari,Jogja
zuhur,3.4,Culinary,Peaceful,Taman Pelangi Jogja,Jogja
gamero,3.8,Tourist Attraction,Mindful,Puncak Gunung Api Purba - Nglanggeran,Jogja
alzonia,4.4,Tourist Attraction,Mindful,Watu Gunung Ungaran,Semarang
alaisia,3.2,Culinary,Kind,La Kana Chapel,Semarang
wilhelmine,3.0,History,Expensive,Geoforest Watu Payung Turunan,Jogja
nzinga,4.8,History,Bad Food,Kebun Teh Nglinggo,Jogja
groome,3.3,Tourist Attraction,Great View,Watu Gunung Ungaran,Semarang
burie,4.0,Tourist Attraction,Mindful,Grand Maerakaca,Semarang
zamyr,3.2,Tourist Attraction,Tasty Food,Alun Alun Selatan Yogyakarta,Jogja
hanneke,3.7,Culture,Isolated,Seribu Batu Songgo Langit,Jogja
joziyah,4.5,Culinary,Boring,Kawasan Malioboro,Jogja
skyia,4.7,Culture,Beautiful,Bentara Budaya Yogyakarta (BBY),Jogja
alima,4.5,Tourist Attraction,Expensive,Saloka Theme Park,Semarang
finney,4.3,Nature,Great View,Nol Kilometer Jl.Malioboro,Jogja
aerick,4.8,History,Bad Food,Watu Goyang,Jogja
jasalyn,3.1,Culinary,Kind Person,Selected Places,Semarang
percy,4.5,Tourist Attraction,Noisy,Candi Gedong Songo,Semarang
yamal,3.2,History,Beautiful,Kampoeng Djadhoel Semarang,Semarang
cesara,4.1,Nature,Recommended,Watu Goyang,Jogja
jadzia,3.6,Culture,Boring,Lawang Sewu,Semarang
aryton,4.8,History,Cheap Price,Taman Kasmaran,Semarang
marguerita,4.1,Culinary,Kind,Semarang Chinatown,Semarang
macnamara,4.2,Nature,Boring,Gua Maria Kerep Ambarawa,Semarang
hursel,3.2,Nature,Isolated,Water Blaster Bukit Candi Golf,Semarang
donnas,3.5,Culinary,Peaceful,Kampung Batik Gedong Semarang,Semarang
bilan,4.6,History,Peaceful,Pura Giri Natha,Semarang
bardin,3.5,History,Noisy,Pura Giri Natha,Semarang
udrea,4.5,Nature,Boring,Taman Kasmaran,Semarang
dazlynn,4.0,Culture,Great View,De Mata Museum Jogja,Jogja
mcdowell,4.3,Culinary,Noisy,The Lost World Castle,Jogja
citarella,4.2,Nature,Tasty Food,Taman Kasmaran,Semarang
keilin,3.5,Culture,Boring,The Lost World Castle,Jogja
marliz,5.0,Nature,Bad Food,Pantai Cipta,Semarang
fouad,3.4,Culture,Kind Person,Selected Places,Semarang
slinkard,3.9,Culture,Peaceful,Kampoeng Rawa,Semarang
keniya,4.8,Culinary,Respectable,Pantai Krakal,Jogja
jaylaan,4.9,Nature,Great View,Saloka Theme Park,Semarang
azzedine,3.9,History,Bad Food,Taman Pandanaran,Semarang
gills,3.1,Nature,Fun,Indonesia Kaya Park,Semarang
vujica,3.9,Nature,Great View,Pantai Depok Jogja,Jogja
keiandra,5.0,History,Kind,Kampung Pelangi,Semarang
velmo,4.3,Culture,Recommended,Green Village Gedangsari,Jogja
demeyer,4.2,Tourist Attraction,Boring,Hutan Pinus Asri,Jogja
maurisa,4.1,Nature,Bad Food,Pantai Glagah,Jogja
edmunds,3.2,Nature,Mindful,Kampung Batik Gedong Semarang,Semarang
krystil,4.5,Culture,Recommended,Pasar Beringharjo,Jogja
shien,4.5,Tourist Attraction,Kind,Saloka Theme Park,Semarang
benhur,3.1,History,Not Recommended,Watu Mabur Mangunan,Jogja
jawan,3.6,Tourist Attraction,Recommended,Semarang Chinatown,Semarang
kimiye,4.3,Nature,Bad Food,Pantai Indrayanti,Jogja
denarius,3.2,History,Hated,Gua Maria Kerep Ambarawa,Semarang
riggins,3.3,Culinary,Expensive,Gua Maria Kerep Ambarawa,Semarang
petrija,4.2,Culture,Kind,Candi Ijo,Jogja
efsa,4.4,Culinary,Boring,Candi Gedong Songo,Semarang
gurolinick,4.9,Culture,Bad Food,Wisata Mangrove Tapak,Semarang
harmina,3.3,History,Kind,Pantai Sundak,Jogja
saundria,4.1,Culinary,Isolated,Jurang Tembelan Kanigoro,Jogja
sydalee,3.0,Tourist Attraction,Respectable,Kota Lama Semarang,Semarang
ikechi,4.9,History,Fun,Wisata Lereng Kelir,Semarang
labritney,3.2,History,Hated,Candi Ijo,Jogja
